OutcomeCategory,Business Outcome,IT Outcome,Key Performance Indicator(s),Domain,Capability,Use Case,Use Case Description,Products,Originator,Country,Customer,Delivered?,Outcome Category,Sector,Item Type,Path
"Improve Quality, Grow Revenues","Easy to consume and faster, Automated Service Request Management leads to better service quality, higher performance, better customer experience and higher profits",Efficient Service Request Management practices reduce cost and allow support groups to more efficiently fulfil service and support requests in the meantime improve the work agents do from low value task to high value tasks.,MTTF,Continuous Operations,Fulfilment,Fulfil Service Request efficient and effective,"As the Service Delivery Manager 

I want automated request management workflows that streamlined requests, approval, orchestration and fulfilment practices across all service providers, 

so that services requests will be fulfilled more efficiently thus improving availability, business performance, customer effort (to do business with IT) and end user satisfaction. ",SMAX,#NAME?,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues","Easy to consume and faster, Automated Service Request Management leads to better service quality, higher performance, better customer experience and higher profits",Efficient Service Request Management practices reduce cost and allow support groups to more efficiently fulfil service and support requests in the meantime improve the work agents do from low value task to high value tasks.,MTTF,Continuous Operations,Fulfilment,Fulfil Service Request efficient and effective,"As the Service Delivery Manager 

I want automated request management workflows that streamlined requests, approval, orchestration and fulfilment practices across all service providers, 

so that services requests will be fulfilled more efficiently thus improving availability, business performance, customer effort (to do business with IT) and end user satisfaction. ",SMAX,#NAME?,"DACH, EMERGING","- Zurich Airport,
- Qatar Airlines",Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues","Easy to consume and faster, Automated Service Request Management leads to better service quality, higher performance, better customer experience and higher profits",Efficient Service Request Management practices reduce cost and allow support groups to more efficiently fulfil service and support requests in the meantime improve the work agents do from low value task to high value tasks.,MTTF,Continuous Operations,Fulfilment,Fulfil Service Request efficient and effective,"As the Service Delivery Manager 

I want automated request management workflows that streamlined requests, approval, orchestration and fulfilment practices across all service providers, 

so that services requests will be fulfilled more efficiently thus improving availability, business performance, customer effort (to do business with IT) and end user satisfaction. ",SMAX,Peter Gotthardt,DACH,SICK AG,Project,#NAME?,Technology,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Proper Change Management practices leads to better service quality, less disruption and impact of improper implementation, better service performance, better customer experience and higher profits",Efficient Change Management practices improve effectiveness of the change implementation thus reducing the risk of negative impact of the implemented change.,"- MMTF, 
- MTBSI",Continuous Operations,Change Management,Optimize Change Management Practice,"As the Change Manager 

I want to automated the change management practice to assure the effectiveness of that practice, 

so that we can manage changes better, faster, safer and cheaper",SMAX,Peter Gotthardt,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Proper Change Management practices leads to better service quality, less disruption and impact of improper implementation, better service performance, better customer experience and higher profits",Efficient Change Management practices improve effectiveness of the change implementation thus reducing the risk of negative impact of the implemented change.,"- MMTF, 
- MTBSI",Continuous Operations,Change Management,Optimize Change Management Practice,"As the Change Manager 

I want to automated the change management practice to assure the effectiveness of that practice, 

so that we can manage changes better, faster, safer and cheaper",SMAX,Peter Gotthardt,DACH,Zurich Airport,Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Proper Change Management practices leads to better service quality, less disruption and impact of improper implementation, better service performance, better customer experience and higher profits",Efficient Change Management practices improve effectiveness of the change implementation thus reducing the risk of negative impact of the implemented change.,"- MMTF, 
- MTBSI",Continuous Operations,Change Management,Optimize Change Management Practice,"As the Change Manager 

I want to automated the change management practice to assure the effectiveness of that practice, 

so that we can manage changes better, faster, safer and cheaper",SMAX,Peter Gotthardt,DACH,SICK AG,Project,#NAME?,Technology,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Proper Change Management practices leads to better service quality, less disruption and impact of improper implementation, better service performance, better customer experience and higher profits","Efficient Change Management Processes improves effectiveness of the change implementation, takes care of improper planning and conflicts thus reducing the risk of faulty implementations and reducing the risk of negative impact of the implemented change.","- MMTF, 
- MTBSI",Continuous Operations,Change Management,Avoid change schedule conflicts,"As the Change Manager 

I want a fast and efficient practice to identify and reconciles change scheduling conflicts, 

so that the risk of unplanned downtime is reduced",SMAX,Peter Gotthardt,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Proper Change Management practices leads to better service quality, less disruption and impact of improper implementation, better service performance, better customer experience and higher profits","Efficient Change Management Processes improves effectiveness of the change implementation, takes care of improper planning and conflicts thus reducing the risk of faulty implementations and reducing the risk of negative impact of the implemented change.","- MMTF, 
- MTBSI",Continuous Operations,Change Management,Avoid change schedule conflicts,"As the Change Manager 

I want a fast and efficient practice to identify and reconciles change scheduling conflicts, 

so that the risk of unplanned downtime is reduced",SMAX,Peter Gotthardt,DACH,Zurich Airport,Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Proper Change Management practices leads to better service quality, less disruption and impact of improper implementation, better service performance, better customer experience and higher profits","Efficient Change Management Processes improves effectiveness of the change implementation, takes care of improper planning and conflicts thus reducing the risk of faulty implementations and reducing the risk of negative impact of the implemented change.","- MMTF, 
- MTBSI",Continuous Operations,Change Management,Avoid change schedule conflicts,"As the Change Manager 

I want a fast and efficient practice to identify and reconciles change scheduling conflicts, 

so that the risk of unplanned downtime is reduced",SMAX,Peter Gotthardt,DACH,SICK AG,Project,#NAME?,Technology,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Proper Change Management practices leads to better service quality, less disruption and impact of improper implementation, better service performance, better customer experience and higher profits","Efficient Change Management Processes improves effectiveness of the change implementation, takes care of proper risk and impact analysis thus reducing the risk of faulty implementations and reducing the risk of negative impact of the implemented change.","- MMTF, 
- MTBSI",Continuous Insight,Change Management,Avoid unplanned downtime through poorly managed changes,"As the Change Manager 

I want to monitor the change management practice to improve effectiveness of the change implementation, taking care of proper risk and impact analysis thus reducing the risk of faulty implementations 

so that I can reduce the risk of negative impact of the implemented change and mitigate the risk of unplanned outages. ",SMAX,Peter Gotthardt,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Proper Change Management practices leads to better service quality, less disruption and impact of improper implementation, better service performance, better customer experience and higher profits","Efficient Change Management Processes improves effectiveness of the change implementation, takes care of proper risk and impact analysis thus reducing the risk of faulty implementations and reducing the risk of negative impact of the implemented change.","- MMTF, 
- MTBSI",Continuous Insight,Change Management,Avoid unplanned downtime through poorly managed changes,"As the Change Manager 

I want to monitor the change management practice to improve effectiveness of the change implementation, taking care of proper risk and impact analysis thus reducing the risk of faulty implementations 

so that I can reduce the risk of negative impact of the implemented change and mitigate the risk of unplanned outages. ",SMAX,Peter Gotthardt,DACH,Zurich Airport,Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Proper Change Management practices leads to better service quality, less disruption and impact of improper implementation, better service performance, better customer experience and higher profits","Efficient Change Management Processes improves effectiveness of the change implementation, takes care of proper risk and impact analysis thus reducing the risk of faulty implementations and reducing the risk of negative impact of the implemented change.","- MMTF, 
- MTBSI",Continuous Insight,Change Management,Avoid unplanned downtime through poorly managed changes,"As the Change Manager 

I want to monitor the change management practice to improve effectiveness of the change implementation, taking care of proper risk and impact analysis thus reducing the risk of faulty implementations 

so that I can reduce the risk of negative impact of the implemented change and mitigate the risk of unplanned outages. ",SMAX,Peter Gotthardt,DACH,SICK AG,Project,#NAME?,Technology,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues","Proper Service Level Management adopted across the enterprise leads to better and measurable service availability and service quality, higher focus and response of the support organisation, higher service performance, better customer experience and higher profits",Efficient Service Level Management practices increases the responsiveness of the support organisation and reduces costs by lowering the level of effort associated with reactive recovery activities.,CSI,Continuous Operations,Service Level Management,Monitor SLO's against targets and report (potential) breaches,"As the Service Level Manager 

I want service levels objectives (SLO's) to be monitored and - in case of risk of SLA breach - to activate intelligent alerting, 

so that I can respond proactively to this potential breach with relevant actions.",SMAX,Peter Gotthardt,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues","Proper Service Level Management adopted across the enterprise leads to better and measurable service availability and service quality, higher focus and response of the support organisation, higher service performance, better customer experience and higher profits",Efficient Service Level Management practices increases the responsiveness of the support organisation and reduces costs by lowering the level of effort associated with reactive recovery activities.,CSI,Continuous Operations,Service Level Management,Monitor SLO's against targets and report (potential) breaches,"As the Service Level Manager 

I want service levels objectives (SLO's) to be monitored and - in case of risk of SLA breach - to activate intelligent alerting, 

so that I can respond proactively to this potential breach with relevant actions.",SMAX,Peter Gotthardt,DACH,Zurich Airport,Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues","Proper Service Level Management adopted across the enterprise leads to better and measurable service availability and service quality, higher focus and response of the support organisation, higher service performance, better customer experience and higher profits",Efficient Service Level Management practices increases the responsiveness of the support organisation and reduces costs by lowering the level of effort associated with reactive recovery activities.,CSI,Continuous Operations,Service Level Management,Monitor SLO's against targets and report (potential) breaches,"As the Service Level Manager 

I want service levels objectives (SLO's) to be monitored and - in case of risk of SLA breach - to activate intelligent alerting, 

so that I can respond proactively to this potential breach with relevant actions.",SMAX,Peter Gotthardt,DACH,SICK AG,Project,#NAME?,Technology,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Business Alignment","Proper Service Level Management adopted across the enterprise leads to better and measurable service availability and service quality, higher focus and response of the support organisation, higher service performance, better customer experience and higher profits",Efficient Service Level Reporting practices increases the responsiveness of the support organisation to continuously improve proactively thus reduce cost by lowering the level of effort associated reactive recovery activities.,CSI,Continuous Operations,Service Level Management,Report performance of SLO's against targets and initiate improvements,"As the Service Level Manager I want that performance against service level objectives (SLO's) is reported, so that I can inform my customer in regular meetings and I continuously improve the performance of the SLA when required.",SMAX,Peter Gotthardt,DACH,Evonik,Project,#NAME?,Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Business Alignment","Proper Service Level Management adopted across the enterprise leads to better and measurable service availability and service quality, higher focus and response of the support organisation, higher service performance, better customer experience and higher profits",Efficient Service Level Reporting practices increases the responsiveness of the support organisation to continuously improve proactively thus reduce cost by lowering the level of effort associated reactive recovery activities.,CSI,Continuous Operations,Service Level Management,Report performance of SLO's against targets and initiate improvements,"As the Service Level Manager 

I want that performance against service level objectives (SLO's) is reported, 

so that I can inform my customer in regular meetings and I continuously improve the performance of the SLA when required.",SMAX,Peter Gotthardt,DACH,Zurich Airport,Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Business Alignment","Proper Service Level Management adopted across the enterprise leads to better and measurable service availability and service quality, higher focus and response of the support organisation, higher service performance, better customer experience and higher profits",Efficient Service Level Reporting practices increases the responsiveness of the support organisation to continuously improve proactively thus reduce cost by lowering the level of effort associated reactive recovery activities.,CSI,Continuous Operations,Service Level Management,Report performance of SLO's against targets and initiate improvements,"As the Service Level Manager 

I want that performance against service level objectives (SLO's) is reported, 

so that I can inform my customer in regular meetings and I continuously improve the performance of the SLA when required.",SMAX,Peter Gotthardt,DACH,SICK AG,Project,#NAME?,Technology,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Continuous improvement of Enterprise Service Management practice based on dashboards and reports for the different practices which lead to better service quality, higher service performance, better customer experience and higher profits",Improve efficiency in Enterprise Service Management practice through dashboards and reports,CSI,Continuous Insight,Service Monitoring,1 data lake as single source of truth,"As the Service Owner / Service Delivery Manager 

I want that all relevant data that monitors the support of Business Services availability / reliability in one single source of truth, resulting in total observability giving me reliable situational awareness organizations capability to support, 

so that I can do proper analysis and take the right actions to continuously improve",SMAX,Peter Gotthardt,DACH,Zurich Airport,Project,#NAME?,Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Higher availability of business services which leads to better service quality, better customer experience and higher profits",Improve efficiency in event management practice.,"- MTBSI, 
- MTTR",Continuous Operations,Service Monitoring,1 data lake as single source of truth,"As the Service Owner / Service Delivery Manager 

I want that all relevant data that monitors the support of Business Services availability / reliability in one single source of truth, resulting in total observability giving me reliable situational awareness organizations capability to support, 

so that I can do proper analysis and take the right actions to continuously improve",OPSB,"- Luke Codarin <lcodarin@opentext.com> (Telstra),
- Dominique Marie (SFR)",ANZ,"Telstra, SFR",Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk, Business Alignment","Higher availability of business services which leads to better service quality, better customer experience and higher profits",Improve quality in continuous insight of service health,"- MTBSI, 
- MTTR",Continuous Operations,Service Monitoring,Eliminate Blind Spots,"As the Service Delivery Manager, 

I want to improve service monitoring and assurance that all components in the environment are detected and monitored resulting in detection of all events, 

so that I can reduce the risk of missing events and business services going down",OPSB,Luke Codarin,ANZ,Telstra,Project,#NAME?,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,"Reducing overhead cost for the organization, that support higher profits",Improve the TCO of service monitoring platforms,Reduce TCO,Continuous Operations,Service Monitoring,Optimize Technology Utilization,"As the Operations Manager, 

I want to improve the simplification and consolidation of the Monitoring Platforms, 

so that I can reduce cost and complexity ",AMX,Luke Codarin,ANZ,Telstra,Project,Reduce Cost,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Risk,"Higher availability of technology that supports the Service Monitoring practices, leading to reliable Service Monitoring and understanding of the Service Health",Improve resilience of the service monitoring platforms,Increase Availability,Continuous Operations,Service Monitoring,Optimize Technology Reliability & Stability,"As the Service Delivery Manager, 

I want to improve the reliability of the Monitoring Platforms through more stability and DR , 

so that I can reduce risks",OPSB,"- Luke Codarin <lcodarin@opentext.com>
- Hany Boulon","ANZ, EMERGING",#NAME?,Project,Reduce Risk,Telecom,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,"Removing waste, Uncovering uncontrolled costs and taking control of costs leads to higher sustainable organisation and higher profits",Create a culture of Finance accountability across the organisation to manage Cloud and ICT costs efficiency. ,Reduce TCO,Continuous Operations,Consumption Usage,Uncover uncontrolled costs,"As a FinOps user 

I want detailed reports both IaC (infrastructure as code) deployments in hybrid cloud landscape so that I can gain a complete, unified, real-time view of spending and usage across all major providers. 

so that I can do proper analysis and take the right actions to continuously improve cost.",HCMX,Peter Gotthardt,DACH,ECB,Project,Reduce Cost,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,Execution of Recommendations and allocate the right amount of preserved cloud resources leads to less costs and higher profits,Optimize Cloud Spend through executing the recommendations from the public cloud providers and optimize the cloud instance reservations to save costs. ,Reduce TCO,Continuous Operations,Asset Management,Control and right-size pre-allocated public cloud resources ,"As a FinOps user 

I want detailed reports both IaC (infrastructure as code) deployments in hybrid cloud landscape so that I can gain a complete, unified, real-time view of spending and usage across all major providers

so that I can do proper analysis and take the right actions to continuously improve cost.",HCMX,Peter Gotthardt,DACH,ECB,Project,Reduce Cost,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Cost, Improve Quality","Governance of the Hybrid Cloud provisioning leads to adhered standards, costs control and higher profits","Manage Hybrid Cloud deployments through governed self service capabilities that ensures guardrails for developers and engineers allowing standardization, automated provisioning of pre defined templates and internal subscription management to control Hybrid Cloud usage and cost. ",Reduce TCO,Continuous Operations,Order Management,Hybrid Cloud Provisioning of Resources from a Self Service Capability,"As a Service Delivery Manager

I want a self service capability to access automated deployment and day 2 operations for my customers internal subscriptions that match the corporate guardrails 

so that I can do proper management of the lifecycle of my Services. ",HCMX,Peter Gotthardt,DACH,ECB,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Risk, Improve Quality","Application testing is more realistic and thus avoids defects - and thus incidents in production - because of unrealistic data. On top of that, the business is compliant with Data Privacy Regulations",Data Sets are secured from breach,"- Brand Protection, 
- Risk Reduction, 
- MTBSI",Continuous Integration,Test Management,Provide realistic test data to improve quality of testing,"As the VP of APPS 

I want that my testers, developers and trainers have access to test data that is a copy of production data, on demand , while sensitive and personal data is protecting the data with realistic values 

so that I can execute much better tests of the developed (new) features",Voltage,Ashley Bill,NSE,Large European Bank,Project,#NAME?,Financial,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
Reduce Cost,Optimize the company's resources without reducing the service levels and assure compliant with data privacy regulations,"Reduce IT Cost, TCO while data sets are secured from breach",Reduce TCO,Continuous Planning,Portfolio Management,Close and consolidate legacy applications and secure data for necessary information and reporting,"As the Portfolio Manager 

I want to close down old legacy applications which are used infrequently without losing the ability to access the data for necessary information and reporting, 

so that I can optimize the resources, save cost, contribute to the financial health of our company while maintaining compliance regulations.",Voltage,Ashley Bill,NSE,Sykehuspartner,Project,Reduce Cost,Healthcare,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Improve Quality, Grow Revenues, Reduce Risk","Improve better, faster and safer business outcomes - for example application development and testing - while stay compliant with security and privacy regulations.","Improve better, faster and safer workforce efficiency - for example application development and testing - while stay compliant with security and privacy regulations.",Risk Reduction,Continuous Compliance,Data Protection,Enable automation of file content encryption/redaction.,"As the CISO, 

I want the data that is provided to an IT service or function - to be consumed by their employees for their work - to be the same file in the same format as it is used in production, but with sensitive data encrypted, 

so that I can be compliant with security and privacy regulations.",Voltage,Ashley Bill,NSE,Ericsson,Project,#NAME?,Technology,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Cost, Business Alignment, Grow Revenues","Improve End User Productivity at lower support costs so End Users can enjoy higher service quality, higher business performance, better experience and faster business Support.",Reduce support costs and extend service times by offering effective Self Service capability. Free up Service Desk agents in delivering self service capabilities to end users.,"- CEI, 
- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Consumption Experience Management,End User Self Service for ITSM and ESM,"As the Service Support Manager / Service Level Manager

I want to offer superior self service capabilities to my Business Users (Portal, Virtual Agent, Chat, Knowledge, Ticketing, Catalogue, Communication, Collaboration, etc) leveraging the IT capabilities for non IT business content customer (like GRE, Logistics, Finance), 

so that IT and business customers easily and effectively interact with business and IT on services provided and  enjoy higher service quality, better collaboration, better experience and efficient business support faster.",SMAX,#NAME?,"DACH, EMERGING",#NAME?,Project,"- Reduce Cost
-  Business Alignment, 
- Grow Revenues",Aviation,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
"Reduce Cost, Business Alignment, Grow Revenues","Improve End User Productivity at lower support costs so End Users can enjoy higher service quality, higher business performance, better experience and faster business Support.",Reduce support costs and extend service times by offering effective Self Service capability. Free up Service Desk agents in delivering self service capabilities to end users.,"- CEI, 
- MTBSI, 
- MTTR, 
- CSAT",Continuous Operations,Consumption Experience Management,End User Self Service for ITSM and ESM,"As the Service Support Manager / Service Level Manager

I want to offer superior self service capabilities to my Business Users (Portal, Virtual Agent, Chat, Knowledge, Ticketing, Catalogue, Communication, Collaboration, etc) leveraging the IT capabilities for non IT business content customer (like GRE, Logistics, Finance), 

so that IT and business customers easily and effectively interact with business and IT on services provided and  enjoy higher service quality, better collaboration, better experience and efficient business support faster.",SMAX,Peter Gotthardt,DACH,Evonik,Project,"- Reduce Cost
-  Business Alignment, 
- Grow Revenues",Chemical,Item,teams/SS-WWSS/DX/Lists/Outcomelibrary1
